timestamp,symbol,open,high,low,close,volume
2023-05-03,ARB,1.3486,1.3638,1.2954,1.3428,80533908.5
2023-05-03,ETH,1870.09,1916.52,1842.64,1905.12,465185.2501
2023-05-03,OP,2.164,2.181,2.079,2.164,9586339.75
2023-05-03,POL,0.9768,1.0179,0.9625,1.0059,70885685.7
2023-05-03,SOL,22.25,22.3,21.23,22.24,4181975.28
2023-05-03,SUI,0.1,2.0,0.1,1.4016,446598493.4
2023-05-04,ARB,1.3428,1.3652,1.3073,1.3183,66484608.2
2023-05-04,ETH,1905.12,1918.26,1866.71,1877.07,354528.6144
2023-05-04,OP,2.164,2.166,2.012,2.026,10235711.43
2023-05-04,POL,1.0059,1.008,0.9788,0.9826,36523489.4
2023-05-04,SOL,22.24,22.49,21.61,21.74,2529635.56
2023-05-04,SUI,1.4016,1.499,1.2961,1.3303,160696442.6
2023-05-05,ARB,1.3184,1.3667,1.29,1.3562,85542674.2
2023-05-05,ETH,1877.07,1998.36,1875.65,1993.3,546608.875
2023-05-05,OP,2.027,2.065,1.918,1.982,12950166.08
2023-05-05,POL,0.9826,1.0085,0.975,0.9979,44738112.9
2023-05-05,SOL,21.74,23.07,21.56,22.82,3636404.07
2023-05-05,SUI,1.3303,1.38,1.26,1.3064,109103877.3
2023-05-06,ARB,1.3562,1.3679,1.2155,1.2393,125932908.6
2023-05-06,ETH,1993.3,2019.0,1860.0,1896.33,608106.9915
2023-05-06,OP,1.982,1.999,1.791,1.868,12364228.35
2023-05-06,POL,0.9978,1.005,0.95,0.9753,51505951.9
2023-05-06,SOL,22.82,23.23,21.56,21.91,2849745.66
2023-05-06,SUI,1.3067,1.3752,1.27,1.3297,84666618.7
2023-05-07,ARB,1.2393,1.2599,1.2161,1.2194,66932603.8
2023-05-07,ETH,1896.33,1933.33,1867.59,1870.4,413268.8357
2023-05-07,OP,1.868,1.941,1.863,1.887,8045451.63
2023-05-07,POL,0.9753,0.9852,0.9607,0.9636,32707806.1
2023-05-07,SOL,21.91,22.78,21.63,21.66,2954384.97
2023-05-07,SUI,1.3299,1.3469,1.22,1.2431,41904640.0
2023-05-08,ARB,1.2193,1.23,1.0111,1.0945,190017957.6
2023-05-08,ETH,1870.41,1883.97,1810.73,1847.56,625316.6168
2023-05-08,OP,1.886,1.916,1.663,1.719,15700468.06
2023-05-08,POL,0.9633,0.9672,0.875,0.9005,80695793.6
2023-05-08,SOL,21.65,21.81,20.0,20.62,5254424.55
2023-05-08,SUI,1.243,1.2439,1.0222,1.1374,120746101.0
2023-05-09,ARB,1.0946,1.1201,1.0772,1.1029,94286343.0
2023-05-09,ETH,1847.55,1861.88,1830.99,1846.52,304396.186
2023-05-09,OP,1.719,1.771,1.686,1.708,8534218.51
2023-05-09,POL,0.9005,0.9076,0.8666,0.8763,63629210.3
2023-05-09,SOL,20.63,21.0,20.4,20.65,2375473.6
2023-05-09,SUI,1.1377,1.2158,1.0932,1.1842,84746956.6
2023-05-10,ARB,1.1031,1.2058,1.0867,1.1709,199788891.5
2023-05-10,ETH,1846.53,1887.47,1790.51,1840.84,639933.3855
2023-05-10,OP,1.708,1.785,1.617,1.722,13212634.99
2023-05-10,POL,0.8763,0.9046,0.8335,0.8764,80206751.6
2023-05-10,SOL,20.66,21.31,19.74,20.91,5057170.3
2023-05-10,SUI,1.1842,1.2448,1.0988,1.1787,168123621.3
2023-05-11,ARB,1.1708,1.1722,1.0503,1.0888,129897745.9
2023-05-11,ETH,1840.83,1842.02,1772.68,1794.3,522096.0725
2023-05-11,OP,1.722,1.724,1.491,1.558,11916245.53
2023-05-11,POL,0.8764,0.877,0.8286,0.8409,59096376.4
2023-05-11,SOL,20.92,20.93,19.69,20.17,3721715.1
2023-05-11,SUI,1.1788,1.1819,1.0336,1.0736,86830478.7
2023-05-12,ARB,1.0889,1.1777,1.0608,1.172,130976835.8
2023-05-12,ETH,1794.31,1818.63,1740.0,1807.45,565539.8309
2023-05-12,OP,1.558,1.688,1.482,1.677,20828877.98
2023-05-12,POL,0.8409,0.874,0.8177,0.8648,82246344.9
2023-05-12,SOL,20.17,20.95,19.8,20.9,3076452.18
